Item,Question,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8
SRS.A_1,I am much more uncomfortable in social situations than when I am by myself.,-0.003826576,0.501050111,0.123040359,-0.087114578,0.056839041,-0.079399545,-0.130135518,0.035975466
SRS.A_10,"I take things too literally, and because of that, I misinterpret the intended meaning of parts of a conversation.",0.606266187,-0.032908614,-0.063873955,-0.047454786,0.009153698,-0.044211693,-0.02368143,0.054522114
SRS.A_11,I have good self-confidence.,0.025001591,-0.080055497,-0.120313817,0.980083933,0.108825708,-0.045263893,0.030997147,-0.057043414
SRS.A_12,I am able to communicate my feelings to others.,0.118637574,-0.093460079,0.314733991,0.484818818,0.098042226,0.02236168,-0.05792882,-0.116528178
SRS.A_13,I am awkward in turn-taking interactions with others (e.g. I have a hard time keeping up with the give-and-take of a conversation).,0.248401412,0.169136122,-0.012185141,0.088331301,0.59983936,-0.036576304,0.055599369,-0.119363015
SRS.A_14,I am not well coordinated.,0.314907281,0.120115392,0.112799173,-0.119462701,0.271791937,0.012768084,0.078686006,-0.220305278
SRS.A_15,"When people change their tone or facial expression, I usually pick up on that and understand what it means.",-0.147013516,0.0151553,0.655048731,-0.059207126,-0.053251862,-0.044989544,0.039828698,0.11225196
SRS.A_16,I avoid eye contact or am told that I have unusual eye contact.,0.359361875,0.193355623,0.01310288,-0.037258683,0.317391804,0.140035395,0.062084838,-0.008663255
SRS.A_17,I recognize when something is unfair.,-0.244006788,0.249234783,0.493468145,0.112926081,0.042023197,-0.083614189,0.073768476,0.026302827
SRS.A_18,"I have difficulty making friends, even when trying my best.",0.226197186,0.301805258,0.083150764,-0.082295009,0.353515436,0.033215266,0.014001845,0.025599413
SRS.A_19,I get frustrated trying to get ideas across in conversations.,0.468478801,0.069192945,0.046877614,-0.12842141,0.233831481,-0.059250016,-0.016584725,-0.034251807
SRS.A_2,My facial expressions send the wrong message to others about how I actually feel.,0.360081773,0.048540988,0.031481279,-0.111725083,0.073393792,-0.006113506,-0.021411279,0.247038658
SRS.A_20,I have sensory interests that others find unusual (e.g. smelling or looking at things in a special way).,0.534429622,-0.179766241,0.095631231,0.09534194,0.10503028,-0.119539062,0.179984183,0.128528868
SRS.A_21,I am able to imitate others\ actions and expressions when it is socially appropriate to do so.,0.133614693,0.069897393,0.425287548,-0.009088862,-0.163253137,0.06670834,0.101264688,0.023037788
SRS.A_22,I interact appropriately with other adults.,-0.158055505,0.213240678,0.407941553,-0.001563937,-0.159726566,0.114586707,-0.134747967,-0.067890206
SRS.A_23,I do not join group activities or social events unless prompted or strongly urged to do so.,-0.012570815,0.711431604,0.044142647,-0.033857339,0.023744354,-0.040873847,-0.06715369,0.046789024
SRS.A_24,I have more difficulty than others with changes in my routine.,0.363592007,0.202937877,-0.031937123,0.065794094,0.064098932,-0.34702005,-0.152526237,-0.022601902
SRS.A_25,"I do not mind being out of step with or ""not on the same wavelength"" as others.",0.033066896,0.271680239,0.128910781,0.227770092,0.020385087,0.053514548,0.307858935,-0.005050111
SRS.A_26,I offer comfort to others when they are sad.,0.112548175,-0.162476375,0.585913618,-0.148262648,-0.035512456,0.033476926,0.012412522,-0.188547358
