item,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor,threshold,final,subscale,subscale_num
SRS.A_1,-0.007052454,0.494727517,0.132859616,-0.110343436,0.071873072,-0.06832849,-0.131070534,0.047486905,2,TRUE,2,mot,4
SRS.A_10,0.56432656,-0.063574259,-0.055712749,-0.047776795,0.037823018,-0.062921316,-0.019868743,0.07751916,1,TRUE,1,cog,2
SRS.A_11,0.014511078,-0.076524141,-0.10707633,0.97619708,0.126396053,-0.0236837,0.032713406,-0.036511314,4,TRUE,4,mot,4
SRS.A_12,0.137665987,-0.059683411,0.300056793,0.481802158,0.073778379,0.028428029,-0.031855308,-0.174924616,4,TRUE,4,com,3
SRS.A_13,0.184933803,0.173400389,-0.019213841,0.115419013,0.654130235,-0.050120227,0.030125346,-0.117440498,5,TRUE,5,com,3
SRS.A_14,0.300132767,0.088848163,0.136475823,-0.129605024,0.32916538,0.016121163,0.081657771,-0.19719996,5,TRUE,5,rrb,5
SRS.A_15,-0.168685098,0.012028503,0.654709597,-0.034364698,-0.032112754,-0.046791026,0.009190554,0.106653672,3,TRUE,3,cog,2
SRS.A_16,0.37087804,0.183061616,-0.00513161,-0.045483925,0.29273985,0.132453014,0.072263322,-0.026815031,1,TRUE,1,com,3
SRS.A_17,-0.252184993,0.202528201,0.500732213,0.111677631,0.066642887,-0.101219101,0.068734794,0.058335117,3,TRUE,3,cog,2
SRS.A_18,0.195401604,0.273093697,0.080714335,-0.064189475,0.403215776,0.029108868,0.008714154,0.028462201,5,TRUE,5,com,3
SRS.A_19,0.406481522,0.027619838,0.07544895,-0.128670684,0.313909211,-0.05685648,-0.042450552,0.031026265,1,TRUE,1,com,3
SRS.A_2,0.302530745,-0.000479491,0.027470117,-0.107704834,0.102663467,-0.009324725,-0.058802245,0.310553147,8,TRUE,8,awr,1
SRS.A_20,0.519448291,-0.112611761,0.076980977,0.126024306,0.078482507,-0.136351645,0.162183741,0.04128001,1,TRUE,1,rrb,5
SRS.A_21,0.163057316,0.047099175,0.443633774,-0.016220914,-0.151150286,0.075116844,0.10953683,0.029217212,3,TRUE,3,com,3
SRS.A_22,-0.120185256,0.213657942,0.421660786,-0.040789324,-0.205276988,0.127982859,-0.101291783,-0.064794842,3,TRUE,3,com,3
SRS.A_23,0.018842521,0.708681803,0.043855066,-0.040607086,0.020215598,-0.052752092,-0.037063033,0.00123817,2,TRUE,2,mot,4
SRS.A_24,0.401848967,0.259753553,-0.058742131,0.058583354,0.035399276,-0.359463138,-0.136473691,-0.141069181,1,TRUE,1,rrb,5
SRS.A_25,0.011789528,0.240719334,0.162575953,0.184363076,0.015872633,0.050997806,0.331058509,0.028929853,7,TRUE,7,awr,1
SRS.A_26,0.137568553,-0.135103585,0.583007215,-0.159886033,-0.050008743,0.046875546,0.037082141,-0.214552884,3,TRUE,3,com,3
SRS.A_27,0.068028757,0.641782872,-0.023579537,0.023490174,0.215546499,-0.030839365,0.025887381,-0.062075794,2,TRUE,2,mot,4
SRS.A_28,0.568468395,0.005564595,-0.06180019,-0.011207602,-0.079647764,-0.257997674,0.113391637,-0.093023956,1,TRUE,1,rrb,5
SRS.A_29,0.404647627,0.092069792,-0.009765336,-0.037943207,0.055111285,0.059408774,0.581792965,-0.094479633,7,TRUE,7,rrb,5
SRS.A_3,0.20943974,-0.214783707,0.003341878,0.662667831,-0.013739483,0.015338175,0.023187944,-0.059345483,4,TRUE,4,mot,4
SRS.A_30,0.474935949,0.157738779,-0.014984299,-0.066402283,0.021558747,-0.328855751,-0.070210262,-0.167407671,1,TRUE,1,cog,2
SRS.A_31,0.404472618,0.064394625,0.029684768,-0.06807762,-0.111661394,-0.404318095,0.019140308,-0.004696684,1,TRUE,1,rrb,5
SRS.A_32,-0.222398239,-0.014652494,0.203926132,0.242425094,0.069224332,-0.113956116,-0.323407235,0.070840534,4,FALSE,0,,
SRS.A_33,0.307879792,0.176092279,-0.036441671,-0.024114395,0.341845195,0.021209731,0.211899302,-0.000768635,5,TRUE,5,com,3
SRS.A_34,0.338876268,0.352749484,-0.036712844,0.014682237,-0.023163821,0.137135787,0.035615266,0.265941068,2,TRUE,2,mot,4
SRS.A_35,0.334155627,0.108659474,-0.07894023,0.113690285,0.569084085,0.010402986,0.007855217,-0.027853046,5,TRUE,5,com,3
SRS.A_36,0.282945654,0.238191086,-0.003746296,-0.009988523,0.132004338,0.038518785,0.241608708,-0.004310185,1,FALSE,0,com,3
SRS.A_37,0.179656295,0.379851602,-0.099718406,0.062599339,0.329229463,0.020826603,0.100861374,0.004139075,2,TRUE,2,com,3
SRS.A_38,-0.15324403,0.03905366,0.716655968,-0.127705592,0.034094232,0.089702752,-0.022899141,-0.050469432,3,TRUE,3,com,3
SRS.A_39,0.634019257,0.018193378,-0.056315916,0.080439035,0.028303268,-0.055499711,0.02375811,-0.010390222,1,TRUE,1,rrb,5
SRS.A_4,0.51371004,-0.107600685,-0.061488836,-0.027497097,0.010762132,-0.170407493,0.059704153,0.129148985,1,TRUE,1,rrb,5
SRS.A_40,0.002678142,-0.123883717,0.180813027,0.173413997,-0.018064771,-0.110410714,0.310071569,0.069345914,7,TRUE,7,cog,2
SRS.A_41,0.495603998,-0.097351786,-0.044443971,-0.060931173,0.000978644,-0.097356859,0.180902273,0.059207676,1,TRUE,1,com,3
SRS.A_42,0.457049386,0.106569869,0.085054169,0.025764668,-0.110272395,-0.22502898,-0.016539669,0.014031156,1,TRUE,1,cog,2
SRS.A_43,0.350543318,-0.61984675,0.244742155,0.034659994,0.044236437,0.083867087,-0.119610741,0.058637463,1,TRUE,1,mot,4
SRS.A_44,0.811465965,-0.06051022,-0.007765285,0.06041312,0.098904995,0.180169688,-0.18468054,0.023885585,1,TRUE,1,cog,2
SRS.A_45,0.223292195,-0.189660909,0.423306835,-0.043694583,0.12445152,0.057185279,-0.095695108,-0.014296725,3,TRUE,3,awr,1
SRS.A_46,0.318541943,0.039960156,0.069799328,-0.006540951,0.023000911,-0.008897692,-0.123913961,0.430862096,8,TRUE,8,com,3
SRS.A_47,0.544876861,0.020452502,0.050271497,-0.040035866,-0.097715871,0.153481678,0.223013998,0.080576553,1,TRUE,1,com,3
SRS.A_48,-0.169134351,0.072590694,0.330934704,0.079944388,-0.148963396,0.008003658,0.166981569,-0.073341933,3,TRUE,3,cog,2
SRS.A_49,0.36668755,0.037757892,0.015786496,0.04595071,0.095528439,-0.102431682,0.027299753,0.022240287,1,TRUE,1,rrb,5
SRS.A_5,0.578332288,0.012869262,-0.093867353,-0.023454288,0.053980073,0.147818064,0.034839163,-0.188783881,1,TRUE,1,cog,2
SRS.A_50,0.700912878,-0.061849751,-0.068543943,0.084425908,-0.043899278,-0.103075189,0.125866671,0.024352268,1,TRUE,1,rrb,5
SRS.A_51,0.665443272,-0.023866795,-0.015006552,-0.057693838,0.096764072,0.005566568,0.005296766,0.039356385,1,TRUE,1,com,3
SRS.A_52,0.673679385,-0.074160246,0.034754573,-0.094716386,-0.145070883,0.145606422,0.243843042,-0.107601826,1,TRUE,1,awr,1
SRS.A_53,0.499310446,0.13280769,-0.070738629,0.102553857,0.06315633,0.144874576,-0.136289169,0.233196521,1,TRUE,1,com,3
SRS.A_54,0.735507255,0.14494321,-0.095425267,0.233084063,-0.107213695,0.204482856,-0.084720058,0.134650344,1,TRUE,1,awr,1
SRS.A_55,1.013150456,-0.009438945,0.009117767,0.032055187,-0.078706468,0.463401354,0.000248554,-0.037035298,1,TRUE,1,com,3
SRS.A_56,0.963363668,0.032691175,0.048401575,-0.120258002,-0.102730188,0.510147279,0.007162295,-0.000954322,1,TRUE,1,awr,1
SRS.A_57,0.06770615,0.631825645,0.008974325,-0.084859523,-0.03546684,-0.004758353,0.086314965,0.149982928,2,TRUE,2,com,3
SRS.A_58,0.595208197,-0.106017562,0.034949616,-0.159158834,0.02142302,-0.041157228,-0.097094522,0.096683869,1,TRUE,1,cog,2
SRS.A_59,0.239639927,0.160588109,0.100804555,-0.04274324,-0.129447748,-0.06602602,0.0624144,0.337815818,8,TRUE,8,cog,2
SRS.A_6,-0.103542922,0.825260964,-0.015139587,0.121197569,0.004761262,-0.001108805,-0.005389126,0.088096889,2,TRUE,2,mot,4
SRS.A_60,0.246253611,0.160169905,-0.058189123,-0.063397651,-0.140571984,0.077861504,-0.031904303,0.628699461,8,TRUE,8,com,3
SRS.A_61,0.493874579,0.273141046,-0.099846278,0.034352247,-0.207468852,-0.045828532,-0.018614572,0.082785821,1,TRUE,1,com,3
SRS.A_62,0.630007289,-0.11911099,-0.021377668,0.035349057,0.082436876,0.066723408,0.163995837,0.192978861,1,TRUE,1,cog,2
SRS.A_63,0.777779954,-0.057516743,-0.031840652,0.052865346,0.099693729,0.331625267,0.056587294,0.122112247,1,TRUE,1,rrb,5
SRS.A_64,-0.006833696,0.634494542,0.121018502,-0.132996702,0.099218402,-0.059271682,-0.013257695,0.021890702,2,TRUE,2,mot,4
SRS.A_65,0.444964359,-0.009644859,0.079039387,-0.066884001,0.070949844,-0.054548578,0.161192995,0.081315997,1,TRUE,1,mot,4
SRS.A_7,-0.000530514,-0.048950923,0.626611463,0.015784902,0.036012437,-0.069943484,-0.020224272,0.049894562,3,TRUE,3,awr,1
SRS.A_8,0.516021536,-0.077799749,-0.069840256,0.061362315,0.054723547,-0.038800477,0.43465731,-0.002067925,1,TRUE,1,rrb,5
SRS.A_9,0.614492102,-0.04833846,0.000388438,0.057205995,0.146662946,0.062696001,0.007242325,-0.140654695,1,TRUE,1,mot,4
