runNb,runID,trialNb,trType,goalToken,uncertainty,unavAct,corrAct,bestAct,vertOrd,horizOrd,isBreak,tokenIfLeft,tokenIfMid,tokenIfRight
1,3,1,1,1,2,3,2,2,3,3,0,NaN,NaN,NaN
1,3,2,1,1,2,1,2,2,3,3,0,NaN,NaN,NaN
1,3,3,2,1,2,1,2,2,3,3,0,NaN,2,3
1,3,4,1,3,2,2,1,1,3,3,0,NaN,NaN,NaN
1,3,5,2,3,2,3,1,1,3,3,0,3,2,NaN
1,3,6,1,3,2,3,1,1,3,3,0,NaN,NaN,NaN
1,3,7,1,3,2,1,3,1,3,3,0,NaN,NaN,NaN
1,3,8,1,1,2,1,2,2,3,3,0,NaN,NaN,NaN
1,3,9,2,1,2,2,1,2,3,3,0,3,NaN,2
1,3,10,1,1,2,1,2,2,3,3,0,NaN,NaN,NaN
1,3,11,1,2,2,1,3,3,3,3,0,NaN,NaN,NaN
1,3,12,2,2,2,3,2,3,3,3,1,3,1,NaN
2,1,1,1,2,1,3,1,1,1,2,0,NaN,NaN,NaN
2,1,2,1,2,1,1,3,1,1,2,0,NaN,NaN,NaN
2,1,3,2,2,1,2,1,1,1,2,0,2,NaN,1
2,1,4,1,2,1,1,3,1,1,2,0,NaN,NaN,NaN
2,1,5,1,3,1,1,2,2,1,2,0,NaN,NaN,NaN
2,1,6,2,3,1,2,1,2,1,2,0,2,NaN,2
2,1,7,1,3,1,3,2,2,1,2,0,NaN,NaN,NaN
2,1,8,1,3,1,1,2,2,1,2,0,NaN,NaN,NaN
2,1,9,1,2,1,2,1,1,1,2,0,NaN,NaN,NaN
2,1,10,2,2,1,3,1,1,1,2,0,2,3,NaN
2,1,11,1,2,1,3,1,1,1,2,0,NaN,NaN,NaN
2,1,12,2,2,1,3,1,1,1,2,1,3,2,NaN
3,4,1,1,2,2,3,2,2,2,1,0,NaN,NaN,NaN
3,4,2,2,2,2,1,2,2,2,1,0,NaN,3,3
3,4,3,1,2,2,1,2,2,2,1,0,NaN,NaN,NaN
