item,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor,threshold,final,Subscale,subscale_num,order,question
SRS.A_1,-0.003826576,0.501050111,-0.123040359,0.087114578,0.056839041,-0.079399545,-0.130135518,0.035975466,2,TRUE,2,Motivation,4,49,I am much more uncomfortable in social situations than when I am by myself.
SRS.A_10,0.606266187,-0.032908614,0.063873955,0.047454786,0.009153698,-0.044211693,-0.02368143,0.054522114,1,TRUE,1,Cognition,2,11,take things too literally
SRS.A_11,-0.025001591,0.080055497,-0.120313817,0.980083933,-0.108825708,0.045263893,-0.030997147,0.057043414,4,TRUE,4,Motivation,4,48,I have good self-confidence.
SRS.A_12,-0.118637574,0.093460079,0.314733991,0.484818818,-0.098042226,-0.02236168,0.05792882,0.116528178,4,TRUE,4,Communication,3,37,I am able to communicate my feelings to others.
SRS.A_13,0.248401412,0.169136122,0.012185141,-0.088331301,0.59983936,-0.036576304,0.055599369,-0.119363015,5,TRUE,5,Communication,3,33,I am awkward in turn-taking interactions with others (e.g. I have a hard time keeping up with the give-and-take of a conversation).
SRS.A_14,0.314907281,0.120115392,-0.112799173,0.119462701,0.271791937,0.012768084,0.078686006,-0.220305278,1,TRUE,1,RRB,5,64,not well coordinated
SRS.A_15,0.147013516,-0.0151553,0.655048731,-0.059207126,0.053251862,0.044989544,-0.039828698,-0.11225196,3,TRUE,3,Cognition,2,17,"When people change their tone or facial expression, I usually pick up on that and understand what it means."
SRS.A_16,0.359361875,0.193355623,-0.01310288,0.037258683,0.317391804,0.140035395,0.062084838,-0.008663255,1,TRUE,1,Communication,3,29,avoid or unusual eye contact
SRS.A_17,0.244006788,-0.249234783,0.493468145,0.112926081,-0.042023197,0.083614189,-0.073768476,-0.026302827,3,TRUE,3,Cognition,2,19,I recognize when something is unfair.
SRS.A_18,0.226197186,0.301805258,-0.083150764,0.082295009,0.353515436,0.033215266,0.014001845,0.025599413,5,TRUE,5,Communication,3,34,"I have difficulty making friends, even when trying my best."
SRS.A_19,0.468478801,0.069192945,-0.046877614,0.12842141,0.233831481,-0.059250016,-0.016584725,-0.034251807,1,TRUE,1,Communication,3,25,get frustrated trying to get ideas across
SRS.A_2,0.360081773,0.048540988,-0.031481279,0.111725083,0.073393792,-0.006113506,-0.021411279,0.247038658,1,TRUE,1,Awareness,1,4, facial expressions send the wrong message 
SRS.A_20,0.534429622,-0.179766241,-0.095631231,-0.09534194,0.10503028,-0.119539062,0.179984183,0.128528868,1,TRUE,1,RRB,5,58,unusual sensory interests 
SRS.A_21,-0.133614693,-0.069897393,0.425287548,-0.009088862,0.163253137,-0.06670834,-0.101264688,-0.023037788,3,TRUE,3,Communication,3,36,I am able to imitate others\ actions and expressions when it is socially appropriate to do so.
SRS.A_22,0.158055505,-0.213240678,0.407941553,-0.001563937,0.159726566,-0.114586707,0.134747967,0.067890206,3,TRUE,3,Communication,3,40,I interact appropriately with other adults.
SRS.A_23,-0.012570815,0.711431604,-0.044142647,0.033857339,0.023744354,-0.040873847,-0.06715369,0.046789024,2,TRUE,2,Motivation,4,50,I do not join group activities or social events unless prompted or strongly urged to do so.
SRS.A_24,0.363592007,0.202937877,0.031937123,-0.065794095,0.064098932,-0.34702005,-0.152526237,-0.022601902,1,TRUE,1,RRB,5,63,have more difficulty with changes in routine
SRS.A_25,0.033066896,0.271680239,-0.128910781,-0.227770092,0.020385087,0.053514548,0.307858935,-0.005050111,7,TRUE,7,Awareness,1,6,"I do not mind being out of step with or ""not on the same wavelength"" as others."
SRS.A_26,-0.112548175,0.162476375,0.585913618,-0.148262648,0.035512456,-0.033476926,-0.012412522,0.188547358,3,TRUE,3,Communication,3,38,I offer comfort to others when they are sad.
SRS.A_27,0.036011601,0.638699982,0.018004085,-0.014306238,0.204554881,-0.043163791,0.011724565,-0.01723518,2,TRUE,2,Motivation,4,47,I avoid starting social interactions with other adults.
